id,source_id,source_locator,donor_fact,bithkuil_disposition,depends_on,engineering_stage,implementation_status,acceptance_test
G16,S42,Chapter 6; Illocution,Illocution distinguishes communicative acts such as assertion and direction.,"Attach speech-act type to utterance, not the proposition truth value.",G13,E5,SPECIFIED,A directive is not validated as a factual assertion.
G17,S42,Chapter 6; Validation,Validation marks evidential basis for assertive material.,Represent basis/provenance separately from two-bit evidence support. Observation does not guarantee truth.,"G16,F03",E4,SPECIFIED,OBS report can be mistaken; no automatic truth promotion.
G18,S42,Chapter 6 editorial consistency,The page has an eight-subtype phrase beside nine listed Validation categories and a stray Expectation reference.,Use the explicitly enumerated categories for donor notes; do not invent an Expectation field or infer ML structure from editorial inconsistencies.,G17,E0,SOURCE_QUESTION,Record source question; future parser fixture waits for reconciliation.
G19,S04,Chapter 7; slots V and VII,Affix scope differs by placement relative to the formative complex.,Retain ordered scope annotations; syntactically valid reordering is not automatically semantic equivalence.,"G00,G14",E4,SPECIFIED,Move an affix across scope boundary and require declared interpretation change.
G20,S05,Chapter 8; adjunct inventory,"Adjunct families include affixual, modular, register, suppletive, mood/case-scope, bias and parsing roles.",Create separate node types only as supported by a world/task; no catch-all adjunct string in confirmatory input.,"G14,G19",E5,SPECIFIED,Unknown adjunct type must fail rather than silently drop.
G21,S06,Chapter 11; syntax,Discourse order and grammatical relations are not identical; order is not universally free.,Test traversal only where the same explicit AST is preserved. Topic/focus differences must not be mislabeled as order-only controls.,"G10,G14",E2,IMPLEMENTED_SUBSET,Entity serialization reversal round-trips; ordered query operands remain explicit.
G22,S47,Chapter 9; referentials,Referential forms carry reference and associated grammatical distinctions.,Use stable entity IDs now; add discourse binding and referential features as a separate extension.,"F00,G10",E5,DEFERRED,Alpha-renaming of IDs preserves meaning; rebinding does not.
G23,S48,Chapter 10; concatenation,Type 1 circumstantial and Type 2 lexicalizing concatenations differ.,Do not map both to Boolean AND. Add typed composition operations and full scope contracts before teaching them.,"G14,G19",E5,DEFERRED,Circumstantial association and lexical gestalt require distinct golden ASTs.
G24,S48,Chapter 10; carrier,Carrier constructions support names or other quoted foreign material.,"Treat carrier payload as opaque quoted data with boundaries and escaping, never executable instructions.",G22,E5,SPECIFIED,Quoted operator strings cannot escape to AST evaluation.
G25,S43,"Lexicon v1.0; PDF page index 4, printed page 5",The copular root is restricted; its notes exclude several uses of English be.,"Keep identity/equivalence, membership, location, existence and composition separately typed. The reference EQ tests only entity-ID equality.","F00,G07",E0,IMPLEMENTED_SUBSET,EQ is not a shortcut for membership or descriptive predication.
G26,S43,Lexicon cover and root entries,The official lexicon supplies root/stem meaning and usage constraints.,Expand roots only after their required semantic fields and oracle predicates exist; log unresolved sense choices.,"G00,G10",E6,DEFERRED,"Every admitted root maps to typed senses, source location and negative examples."
G27,S44,Chapter 2; morpho-phonology,Surface construction has morpho-phonological constraints.,Place a reversible linguistic codec after semantic-core verification; semantic ABI does not claim valid Ithkuil spelling.,"G00,G19,G20",E6,DEFERRED,AST-to-surface-to-AST equivalence plus rejection of illegal allomorphs.
G28,S45,Chapter 1; phonology,Phonological inventory and stress participate in surface realization.,Keep pronunciation and orthographic surface out of the first causal test.,G27,E6,DEFERRED,Stress-sensitive contrasts need dedicated codec fixtures.
G29,S46,Chapter 13; numbers,The donor has dedicated number constructions.,"Current integers 0..6 are ABI numerals, not a claim to implement donor number morphology.","F01,G27",E6,DEFERRED,Numeric value round-trip must be separate from donor-form acceptance.
G30,S49,Chapter 12; writing system,The writing system is a distinct realization surface.,Defer script tokens; a writing-system decoder cannot be assumed to improve learner reasoning.,"G27,G28",E7,DEFERRED,Raster/vector-to-AST testing is a separate multimodal experiment.
G31,S50,Appendices,Appendices provide supplementary tables and material for the language.,Consult for each extension; do not import every table as mandatory first-model capacity.,"G26,G27",E6,SPECIFIED,Every new fixture cites the particular appendix section consulted.
F00,AUTHOR,Finite-world ABI v0.1.0,Not a donor-language fact: identity is primitive in the reference world.,"Entity IDs, typed fields and exact equality.",,E0,IMPLEMENTED,Identity and alpha-renaming; reject Boolean IDs.
F01,AUTHOR,Finite-world ABI v0.1.0,Not a donor-language fact: finite-set operations ground toy tasks.,"Nonempty sets, cardinality, graph reachability and property comparisons.",F00,E0,IMPLEMENTED,Independent BFS versus transitive-closure agreement.
F02,AUTHOR,Finite-world ABI v0.1.0,Not a donor-language fact: operators compose with explicit typed arguments.,Bounded-depth prefix AST; parenthesized reversible codecs.,"F00,F01",E0,IMPLEMENTED,"Arity, depth, type, scope and truncation rejection."
F03,AUTHOR,Finite-world ABI v0.1.0,Not a donor-language fact: truth/falsity support uses two bits.,UNKNOWN and CONFLICT are distinct; AND/OR/NOT defined by the evidence algebra.,F02,E3,IMPLEMENTED,Exhaust all 16 binary evidence pairs and double negation.
